dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,ue_id,timestamp,cellid,in_sync,idx
0.003693358,0.518518519,0,0.009025685,0.55,0.043179,0,0.375,0.981481481,0.976744186,0.661764706,0.757575758,0.445454545,1,0.465116279,0.406976744,0,0.114105318,0,0,7017
0.00369535,0.592592593,0,0.009033439,0.45,0.020443,0,0.35,0.981481481,0.976744186,0.661764706,0.727272727,0.406060606,1,0.441860465,0.430232558,0,0.114105537,0,0,7018
0.003698298,0.62962963,0,0.009043051,0.65,0.022253,0,0.35,0.981481481,0.976744186,0.661764706,0.727272727,0.424242424,1,0.418604651,0.418604651,0,0.114105756,0,0,7019
0.003700913,0.62962963,0,0.009051208,0.55,0.053982,0,0.35,0.981481481,0.976744186,0.661764706,0.727272727,0.424242424,1,0.372093023,0.406976744,0,0.114105974,0,0,7020
0.003703585,0.666666667,0,0.009058148,0.6,0.039245,0,0.35,0.981481481,0.976744186,0.676470588,0.757575758,0.424242424,1,0.418604651,0.744186047,0,0.114106193,0,0,7021
0.003704326,0.518518519,0,0.009058765,0.45,0.016894,0,0.35,0.981481481,0.976744186,0.676470588,0.757575758,0.424242424,1,0.418604651,0.744186047,0,0.114106411,0,0,7022
0.003705102,0.555555556,0,0.009059469,0.5,0.006545,0,0.375,0.981481481,0.976744186,0.661764706,0.757575758,0.424242424,1,0.441860465,0.744186047,0,0.11410663,0,0,7023
0.003707403,0.62962963,0,0.00906829,0.55,0.010558,0,0.375,0.981481481,0.976744186,0.661764706,0.757575758,0.424242424,1,0.488372093,0.406976744,0,0.114106848,0,0,7024
0.003711202,0.777777778,0,0.009078419,0.6,0.015092,0,0.325,0.981481481,0.976744186,0.661764706,0.757575758,0.406060606,1,0.488372093,0.441860465,0,0.114107067,0,0,7025
0.003715028,0.851851852,0.12375675,0.009085951,0.55,0.047351,0,0.35,0.981481481,0.976744186,0.676470588,0.757575758,0.390909091,1,0.441860465,0.395348837,0,0.114107285,0,0,7026
0.003716326,0.814814815,0.090219176,0.009086665,0.45,0.018345,0,0.375,0.981481481,0.976744186,0.676470588,0.757575758,0.445454545,1,0.441860465,0.395348837,0,0.114107504,0,0,7027
0.003719745,0.703703704,0.051844481,0.009094796,0.55,0.016656,0,0.35,0.981481481,0.976744186,0.676470588,0.727272727,0.406060606,1,0.418604651,0.418604651,0,0.114107722,0,0,7028
0.003723007,0.703703704,0.027552799,0.009105001,0.65,0.021912,0,0.325,0.981481481,0.976744186,0.676470588,0.757575758,0.375757576,1,0.488372093,0.465116279,0,0.114107941,0,0,7029
0.003725325,0.62962963,0.014642697,0.009111858,0.7,0.024096,0,0.35,0.981481481,0.976744186,0.661764706,0.727272727,0.406060606,1,0.441860465,0.755813953,0,0.114108159,0,0,7030
0.003728621,0.703703704,0.007782026,0.00911942,0.7,0.194151,0,0.35,0.981481481,0.976744186,0.632352941,0.727272727,0.406060606,1,0.418604651,0.441860465,0,0.114108378,0,0,7031
0.003729705,0.592592593,0.004594659,0.009120125,0.45,0.083189,0,0.325,0.981481481,0.976744186,0.661764706,0.727272727,0.354545455,1,0.441860465,0.802325581,0,0.114108597,0,0,7032
0.003730854,0.444444444,0.002441796,0.009120797,0.5,0.109144,0,0.325,0.981481481,0.976744186,0.661764706,0.727272727,0.496969697,1,0.418604651,0.360465116,0,0.114108815,0,0,7033
0.003732312,0.407407407,0.00144164,0.009129327,0.45,0.042284,0,0.35,0.981481481,0.976744186,0.632352941,0.727272727,0.445454545,1,0.511627907,0.720930233,0,0.114109034,0,0,7034
0.003734023,0.37037037,0.000851648,0.009141303,0.5,0.018202,0,0.4,0.981481481,0.976744186,0.632352941,0.757575758,0.445454545,1,0.325581395,0.38372093,0,0.114109252,0,0,7035
0.003735862,0.481481481,0.000503109,0.009145591,0,0.066884,0,0.475,0.981481481,0.976744186,0.632352941,0.818181818,0.445454545,1,0.534883721,0.38372093,0,0.114109471,0,0,7036
0.003736655,0.444444444,0.000297016,0.009145927,0.1,0.028792,0,0.45,0.981481481,0.976744186,0.617647059,0.818181818,0.46969697,1,0.511627907,0.348837209,0,0.114109689,0,0,7037
0.003737322,0.333333333,0.000175785,0.009146381,0.25,0.012394,0,0.45,0.981481481,0.976744186,0.588235294,0.787878788,0.424242424,1,0.488372093,0.406976744,0,0.114109908,0,0,7038
0.003739905,0.407407407,0.000103046,0.009159437,0.5,0.004802,0,0.425,0.981481481,0.976744186,0.588235294,0.787878788,0.363636364,1,0.465116279,0.441860465,0,0.114110126,0,0,7039
